locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
EKN05_003430	EKN05_003430	7	CP037923	674729	675587	+		HTH-type transcriptional regulator MurR	0.5204	26	False
EKN05_003435	EKN05_003435	1	CP037923	675716	676507	+		SDR family oxidoreductase UcpA	0.548	29	False
EKN05_003440	EKN05_003440	1	CP037923	676811	677827	+		sulfate ABC transporter substrate-binding protein	0.531	40	False
EKN05_003445	EKN05_003445	1	CP037923	677827	678660	+		sulfate/thiosulfate ABC transporter permease CysT	0.548	29	False
EKN05_003450	EKN05_003450	1	CP037923	678660	679535	+		sulfate ABC transporter permease	0.5685	24	False
EKN05_003455	EKN05_003455	1	CP037923	679525	680622	+		sulfate/thiosulfate ABC transporter ATP-binding protein CysA	0.5847	32	False
EKN05_003460	EKN05_003460	1	CP037923	680756	681667	+		cysteine synthase B	0.5592	27	False
EKN05_003465	EKN05_003465	7	CP037923	681871	682594	-		WGR domain-containing protein	0.3854	47	False
EKN05_003470	EKN05_003470	1	CP037923	682627	683001	-		hypothetical protein	0.4853	20	False
EKN05_003475	EKN05_003475	1	CP037923	683106	683957	+		pyridoxine/pyridoxal/pyridoxamine kinase	0.5176	39	False
EKN05_003480	EKN05_003480	1	CP037923	683999	684508	-		PTS glucose transporter subunit IIA	0.4686	21	False
EKN05_003485	EKN05_003485	1	CP037923	684549	686276	-		phosphoenolpyruvate-protein phosphotransferase PtsI	0.4971	67	False
EKN05_003490	EKN05_003490	1	CP037923	686321	686578	-		phosphocarrier protein Hpr	0.5078	10	False
EKN05_003495	EKN05_003495	1	CP037923	686962	687933	-		cysteine synthase A	0.499	42	False
EKN05_003500	EKN05_003500	1	CP037923	688118	688879	-		sulfate transporter CysZ	0.4987	37	False
EKN05_003505	EKN05_003505	1	CP037923	689109	690095	+		cell division protein ZipA	0.5532	36	False
EKN05_003510	EKN05_003510	1	CP037923	690166	692181	+		NAD-dependent DNA ligase LigA	0.5427	57	False
EKN05_003515	EKN05_003515	1	CP037923	692183	692401	+		hypothetical protein	0.5114	9	False
EKN05_003520	EKN05_003520	1	CP037923	692398	693396	-		bile acid:sodium symporter	0.5165	33	False
EKN05_003525	EKN05_003525	1	CP037923	693486	694412	+		LysR family transcriptional regulator	0.5372	35	False
EKN05_003530	EKN05_003530	1	CP037923	694403	694744	-		flxA-like family protein	0.4298	16	False
EKN05_003540	EKN05_003540	5	CP037923	695020	695095	-		tRNA-Lys	0.5	3	False
EKN05_003545	EKN05_003545	5	CP037923	695100	695175	-		tRNA-Val	0.6184	2	False
EKN05_003550	EKN05_003550	5	CP037923	695220	695295	-		tRNA-Val	0.6184	2	False
EKN05_003555	EKN05_003555	1	CP037923	695554	696969	+		glutamate--tRNA ligase	0.5254	57	False
EKN05_003560	EKN05_003560	1	CP037923	697021	697413	-		putative DNA-binding transcriptional regulator	0.4631	15	False
EKN05_003565	EKN05_003565	1	CP037923	697415	697774	-		putative DNA-binding transcriptional regulator	0.5	14	False
EKN05_003570	EKN05_003570	5	CP037923	697995	698070	+		tRNA-Ala	0.6053	3	False
EKN05_003575	EKN05_003575	1	CP037923	698278	700467	+		sensor domain-containing phosphodiesterase	0.4886	105	False
EKN05_003580	EKN05_003580	1	CP037923	700517	701719	-		nucleoside permease NupC	0.4963	43	False
EKN05_003585	EKN05_003585	1	CP037923	702055	703293	+		Mn(2+) uptake NRAMP transporter MntH	0.5311	47	False
EKN05_003590	EKN05_003590	1	CP037923	703434	703760	-		DUF2502 domain-containing protein	0.5229	15	False
EKN05_003595	EKN05_003595	1	CP037923	703875	705131	-		ion channel protein	0.5402	54	False
EKN05_003600	EKN05_003600	1	CP037923	705335	706300	+		glucokinase	0.5145	39	False
EKN05_003605	EKN05_003605	1	CP037923	706519	706845	+		fructose-like phosphotransferase enzyme IIB component 1	0.5046	11	False
EKN05_003610	EKN05_003610	1	CP037923	706867	708114	+		PTS fructose transporter subunit IIC	0.5369	49	False
EKN05_003615	EKN05_003615	7	CP037923	708129	709212	+		aminopeptidase	0.571	30	False
EKN05_003620	EKN05_003620	1	CP037923	709212	710249	+		aminopeptidase	0.5751	30	False
EKN05_003625	EKN05_003625	1	CP037923	710274	712769	+		phosphoenolpyruvate--protein phosphotransferase	0.5513	90	False
EKN05_003630	EKN05_003630	1	CP037923	712772	713629	-		AraC family transcriptional regulator	0.5303	35	False
EKN05_003635	EKN05_003635	1	CP037923	713642	714376	-		response regulator transcription factor	0.4748	31	False
EKN05_003640	EKN05_003640	7	CP037923	714391	715877	-		sensor histidine kinase	0.5077	68	False
EKN05_003645	EKN05_003645	1	CP037923	716254	717492	+		alanine transaminase	0.5529	45	False
EKN05_003650	EKN05_003650	1	CP037923	717557	717628	-		membrane protein YpdK	0.3889	5	False
EKN05_003655	EKN05_003655	1	CP037923	717983	718903	-		kdo(2)-lipid IV(A) palmitoleoyltransferase	0.5136	37	False
EKN05_003660	EKN05_003660	1	CP037923	719256	719498	+		DUF2545 family protein	0.4815	16	False
EKN05_003665	EKN05_003665	1	CP037923	719575	719850	-		hypothetical protein	0.3804	18	False
EKN05_003670	EKN05_003670	1	CP037923	720147	720770	+		YfdX family protein	0.4615	30	False
EKN05_003675	EKN05_003675	1	CP037923	721283	722533	+		formyl-CoA--oxalate CoA-transferase	0.4708	60	False
EKN05_003680	EKN05_003680	1	CP037923	722587	724281	+		oxalyl-CoA decarboxylase	0.4643	93	False
EKN05_003685	EKN05_003685	1	CP037923	724351	725295	+		transporter YfdV	0.4497	62	False
EKN05_003690	EKN05_003690	1	CP037923	725369	726514	+		CoA:oxalate CoA-transferase	0.4511	75	False
EKN05_003695	EKN05_003695	1	CP037923	726570	730163	-		acid-sensing system histidine kinase EvgS	0.4079	243	False
EKN05_003700	EKN05_003700	1	CP037923	730168	730782	-		acid-sensing system DNA-binding response regulator EvgA	0.4049	41	False
EKN05_003705	EKN05_003705	1	CP037923	731198	732361	+		multidrug efflux MFS transporter periplasmic adaptor subunit EmrK	0.4149	85	False
EKN05_003710	EKN05_003710	1	CP037923	732361	733899	+		multidrug efflux MFS transporter permease subunit EmrY	0.4172	110	False
EKN05_003715	EKN05_003715	1	CP037923	734007	735335	-		D-serine ammonia-lyase	0.5071	55	False
EKN05_003720	EKN05_003720	7	CP037923	735353	735571	-		D-serine transporter DsdX	0.4795	13	False
EKN05_003725	EKN05_003725	1	CP037923	735802	736797	+		LacI family DNA-binding transcriptional regulator	0.5151	41	False
EKN05_003730	EKN05_003730	1	CP037923	736805	738238	-		glycoside hydrolase family 32 protein	0.5119	64	False
EKN05_003735	EKN05_003735	1	CP037923	738554	739717	+		IS4 family transposase	0.5292	39	False
EKN05_003740	EKN05_003740	1	CP037923	739727	740641	+		aminoimidazole riboside kinase	0.518	38	False
EKN05_003745	EKN05_003745	7	CP037923	740713	740838	+		hypothetical protein	0.4206	9	False
EKN05_003750	EKN05_003750	7	CP037923	740911	742079	+		IS3 family transposase	0.5201	47	False
EKN05_003755	EKN05_003755	1	CP037923	742054	742548	-		DUF4102 domain-containing protein	0.4646	23	False
EKN05_003760	EKN05_003760	5	CP037923	742710	742784	-		tRNA-Arg	0.4933	6	False
EKN05_003765	EKN05_003765	1	CP037923	742858	743790	-		hypothetical protein	0.4834	44	False
EKN05_003770	EKN05_003770	1	CP037923	744084	744839	+		phospholipid-binding lipoprotein MlaA	0.5238	35	False
EKN05_003775	EKN05_003775	1	CP037923	745021	746079	-		hypothetical protein	0.3494	97	False
EKN05_003780	EKN05_003780	1	CP037923	746445	747785	-		long-chain fatty acid transporter FadL	0.4989	76	False
EKN05_003785	EKN05_003785	1	CP037923	748157	748441	+		DUF406 family protein	0.5193	8	False
EKN05_003790	EKN05_003790	1	CP037923	748621	749931	+		acetyl-CoA C-acyltransferase FadI	0.5561	46	False
EKN05_003795	EKN05_003795	1	CP037923	749931	752075	+		fatty acid oxidation complex subunit alpha FadJ	0.5198	83	False
EKN05_003800	EKN05_003800	1	CP037923	752278	752763	+		phosphohistidine phosphatase SixA	0.5288	16	False
EKN05_003805	EKN05_003805	1	CP037923	753447	754010	+		type 1 fimbrial protein	0.4574	34	False
EKN05_003810	EKN05_003810	7	CP037923	754092	756732	+		fimbrial biogenesis outer membrane usher protein	0.5097	127	False
EKN05_003815	EKN05_003815	1	CP037923	756752	757474	+		fimbrial protein	0.4855	36	False
EKN05_003820	EKN05_003820	1	CP037923	757521	758027	+		fimbrial protein	0.4556	32	False
EKN05_003825	EKN05_003825	1	CP037923	757999	758115	+		fimbrial protein	0.4615	5	False
EKN05_003830	EKN05_003830	1	CP037923	758066	758494	+		fimbrial protein	0.4639	24	False
EKN05_003835	EKN05_003835	1	CP037923	758491	759015	+		fimbrial protein	0.4533	30	False
EKN05_003840	EKN05_003840	1	CP037923	759017	759892	+		DUF2544 domain-containing protein	0.4349	67	False
EKN05_003845	EKN05_003845	1	CP037923	759996	760547	-		endonuclease SmrB	0.529	12	False
EKN05_003850	EKN05_003850	1	CP037923	760713	761645	+		50S ribosomal protein L3 N(5)-glutamine methyltransferase	0.5263	40	False
EKN05_003855	EKN05_003855	1	CP037923	761680	762765	+		chorismate synthase	0.5654	26	False
EKN05_003860	EKN05_003860	1	CP037923	762769	763593	+		penicillin-insensitive murein endopeptidase	0.5527	27	False
EKN05_003865	EKN05_003865	1	CP037923	763593	764402	+		hypothetical protein	0.5259	32	False
EKN05_003870	EKN05_003870	1	CP037923	764402	764950	+		elongation factor P hydroxylase	0.5027	25	False
EKN05_003875	EKN05_003875	1	CP037923	764984	765262	+		YfcL family protein	0.5341	7	False
EKN05_003880	EKN05_003880	1	CP037923	765383	767389	-		bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC	0.5222	85	False
EKN05_003885	EKN05_003885	1	CP037923	767548	768789	+		beta-ketoacyl-ACP synthase I	0.5612	46	False
EKN05_003890	EKN05_003890	1	CP037923	769044	770222	+		MFS transporter	0.5691	41	False
EKN05_003895	EKN05_003895	1	CP037923	770219	771214	-		flagella biosynthesis regulator Flk	0.5231	45	False
EKN05_003900	EKN05_003900	1	CP037923	771313	772449	+		4-phosphoerythronate dehydrogenase PdxB	0.5365	44	False
EKN05_003905	EKN05_003905	1	CP037923	772515	773528	+		aspartate-semialdehyde dehydrogenase	0.5542	32	False
EKN05_003910	EKN05_003910	1	CP037923	773528	774340	+		tRNA pseudouridine(38-40) synthase TruA	0.556	35	False
EKN05_003915	EKN05_003915	1	CP037923	774423	775082	+		DedA family protein	0.4818	31	False
EKN05_003920	EKN05_003920	1	CP037923	775238	776152	+		acetyl-CoA carboxylase, carboxyltransferase subunit beta	0.5519	26	False
EKN05_003925	EKN05_003925	1	CP037923	776222	777490	+		bifunctional tetrahydrofolate synthase/dihydrofolate synthase	0.5603	42	False
EKN05_003930	EKN05_003930	1	CP037923	777480	778142	+		cell division protein DedD	0.5716	25	False
EKN05_003935	EKN05_003935	1	CP037923	778401	778889	+		colicin V production protein	0.4928	17	False
EKN05_003940	EKN05_003940	1	CP037923	778926	780443	+		amidophosphoribosyltransferase	0.529	64	False
EKN05_003945	EKN05_003945	1	CP037923	780538	781107	+		UbiX family flavin prenyltransferase	0.5316	21	False
EKN05_003950	EKN05_003950	7	CP037923	781373	781486	+		amino acid ABC transporter substrate-binding protein	0.5526	8	False
EKN05_003955	EKN05_003955	7	CP037923	781532	782805	+		IS3-like element IS2 family transposase	0.5322	53	False
EKN05_003960	EKN05_003960	7	CP037923	782817	783491	+		lysine/arginine/ornithine ABC transporter substrate-binding protein ArgT	0.4963	28	False
EKN05_003965	EKN05_003965	1	CP037923	783712	784494	+		histidine ABC transporter substrate-binding protein HisJ	0.4955	28	False
EKN05_003970	EKN05_003970	1	CP037923	784584	785270	+		histidine ABC transporter permease HisQ	0.5342	29	False
EKN05_003975	EKN05_003975	1	CP037923	785267	785983	+		histidine ABC transporter permease	0.5007	41	False
EKN05_003980	EKN05_003980	1	CP037923	785991	786764	+		histidine ABC transporter ATP-binding protein HisP	0.5129	28	False
EKN05_003985	EKN05_003985	1	CP037923	786961	787851	+		ISNCY family transposase	0.4501	54	False
EKN05_003990	EKN05_003990	1	CP037923	787899	788792	-		TIGR01777 family protein	0.5526	37	False
EKN05_003995	EKN05_003995	1	CP037923	788813	789175	-		dihydroneopterin triphosphate 2'-epimerase	0.449	27	False
EKN05_004000	EKN05_004000	1	CP037923	789232	789879	-		GSH-dependent disulfide bond oxidoreductase	0.5108	24	False
EKN05_004005	EKN05_004005	1	CP037923	790015	790659	+		glutathione transferase	0.5194	22	False
EKN05_004010	EKN05_004010	1	CP037923	790715	791266	+		phosphodiesterase	0.5127	24	False
EKN05_004015	EKN05_004015	1	CP037923	791324	791866	+		NUDIX hydrolase YfcD	0.5359	11	False
EKN05_004020	EKN05_004020	1	CP037923	791899	793419	-		putative basic amino acid antiporter YfcC	0.5161	63	False
EKN05_004025	EKN05_004025	1	CP037923	793609	795753	-		phosphate acetyltransferase	0.5552	68	False
EKN05_004030	EKN05_004030	1	CP037923	795828	797030	-		acetate kinase	0.5229	47	False
EKN05_004035	EKN05_004035	1	CP037923	797368	797823	+		DUF412 domain-containing protein	0.5022	21	False
EKN05_004040	EKN05_004040	1	CP037923	797906	798400	+		YfbU family protein	0.4768	24	False
EKN05_004045	EKN05_004045	1	CP037923	798411	799061	+		hexitol phosphatase HpxA	0.5607	22	False
EKN05_004050	EKN05_004050	1	CP037923	799148	800980	+		SLC13 family permease	0.5243	74	False
EKN05_004055	EKN05_004055	1	CP037923	801039	801638	-		5'-deoxynucleotidase	0.4967	23	False
EKN05_004060	EKN05_004060	1	CP037923	801722	802939	-		pyridoxal phosphate-dependent aminotransferase	0.5041	50	False
EKN05_004065	EKN05_004065	1	CP037923	803864	804802	+		transcriptional regulator LrhA	0.4984	48	False
EKN05_004070	EKN05_004070	1	CP037923	805433	805876	+		NADH-quinone oxidoreductase subunit NuoA	0.5338	20	False
EKN05_004075	EKN05_004075	1	CP037923	805892	806554	+		NADH-quinone oxidoreductase subunit B	0.5189	32	False
EKN05_004080	EKN05_004080	1	CP037923	806648	808450	+		NADH-quinone oxidoreductase subunit C/D	0.5591	61	False
EKN05_004085	EKN05_004085	1	CP037923	808453	808953	+		NADH-quinone oxidoreductase subunit NuoE	0.5549	11	False
EKN05_004090	EKN05_004090	1	CP037923	808950	810287	+		NADH-quinone oxidoreductase subunit NuoF	0.5658	43	False
EKN05_004095	EKN05_004095	1	CP037923	810340	813066	+		NADH-quinone oxidoreductase subunit NuoG	0.5636	91	False
EKN05_004100	EKN05_004100	1	CP037923	813063	814040	+		NADH-quinone oxidoreductase subunit NuoH	0.544	23	False
EKN05_004105	EKN05_004105	1	CP037923	814055	814597	+		NADH-quinone oxidoreductase subunit NuoI	0.5378	27	False
EKN05_004110	EKN05_004110	1	CP037923	814609	815163	+		NADH-quinone oxidoreductase subunit J	0.5405	24	False
EKN05_004115	EKN05_004115	1	CP037923	815160	815462	+		NADH-quinone oxidoreductase subunit NuoK	0.5446	10	False
EKN05_004120	EKN05_004120	1	CP037923	815459	817300	+		NADH-quinone oxidoreductase subunit L	0.57	54	False
EKN05_004125	EKN05_004125	1	CP037923	817464	818993	+		NADH-quinone oxidoreductase subunit M	0.549	53	False
EKN05_004130	EKN05_004130	1	CP037923	819000	820457	+		NADH-quinone oxidoreductase subunit NuoN	0.5727	55	False
EKN05_004135	EKN05_004135	1	CP037923	820524	821021	-		DUF1877 family protein	0.4598	21	False
EKN05_004140	EKN05_004140	7	CP037923	821036	821733	-		IS1 family transposase	0.5301	27	False
EKN05_004145	EKN05_004145	7	CP037923	821790	821981	-		hypothetical protein	0.3438	13	False
EKN05_004150	EKN05_004150	1	CP037923	822169	823086	-		ribonuclease BN	0.5054	45	False
EKN05_004155	EKN05_004155	1	CP037923	823151	823612	+		GNAT family N-acetyltransferase	0.4762	21	False
EKN05_004160	EKN05_004160	1	CP037923	823667	823972	+		stress response protein ElaB	0.5196	14	False
EKN05_004165	EKN05_004165	1	CP037923	824051	825346	+		isochorismate synthase MenF	0.5347	48	False
EKN05_004170	EKN05_004170	1	CP037923	825435	827105	+		2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylic-acid synthase	0.5787	40	False
EKN05_004175	EKN05_004175	1	CP037923	827102	827860	+		2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	0.5626	24	False
EKN05_004180	EKN05_004180	1	CP037923	827875	828732	+		1,4-dihydroxy-2-naphthoyl-CoA synthase	0.5513	25	False
EKN05_004185	EKN05_004185	1	CP037923	828732	829694	+		o-succinylbenzoate synthase	0.5919	27	False
EKN05_004190	EKN05_004190	1	CP037923	829691	831046	+		o-succinylbenzoate--CoA ligase	0.5619	44	False
EKN05_004195	EKN05_004195	1	CP037923	831151	831423	+		signal transduction protein PmrD	0.4762	14	False
EKN05_004200	EKN05_004200	1	CP037923	831417	831803	-		4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF	0.4806	25	False
EKN05_004205	EKN05_004205	1	CP037923	831803	832138	-		4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE	0.5298	15	False
EKN05_004210	EKN05_004210	1	CP037923	832135	833787	-		lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase	0.51	76	False
EKN05_004215	EKN05_004215	1	CP037923	833787	834677	-		4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase	0.5275	32	False
EKN05_004220	EKN05_004220	1	CP037923	834674	836656	-		bifunctional UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronic acid oxidase ArnA	0.5119	90	False
EKN05_004225	EKN05_004225	1	CP037923	836656	837624	-		undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	0.4964	55	False
EKN05_004230	EKN05_004230	1	CP037923	837628	838767	-		UDP-4-amino-4-deoxy-L-arabinose aminotransferase	0.5184	50	False
EKN05_004235	EKN05_004235	1	CP037923	839075	839677	+		histidine phosphatase family protein	0.4312	39	False
EKN05_004240	EKN05_004240	1	CP037923	839716	840141	-		nucleoside triphosphatase NudI	0.4695	16	False
EKN05_004245	EKN05_004245	1	CP037923	840420	840962	+		hypothetical protein	0.5359	26	False
EKN05_004250	EKN05_004250	7	CP037923	841049	842251	+		nicotinamide mononucleotide deamidase-related protein YfaY	0.5403	41	False
EKN05_004255	EKN05_004255	1	CP037923	842306	842776	+		aldolase	0.552	16	False
EKN05_004260	EKN05_004260	1	CP037923	842817	843767	-		ISNCY family transposase	0.4763	52	False
EKN05_004265	EKN05_004265	1	CP037923	843960	845150	-		anaerobic glycerol-3-phosphate dehydrogenase subunit C	0.5365	52	False
EKN05_004270	EKN05_004270	1	CP037923	845147	846406	-		glycerol-3-phosphate dehydrogenase subunit GlpB	0.5579	34	False
EKN05_004275	EKN05_004275	1	CP037923	846396	848024	-		anaerobic glycerol-3-phosphate dehydrogenase subunit A	0.5734	53	False
EKN05_004280	EKN05_004280	1	CP037923	848297	849655	+		glycerol-3-phosphate transporter	0.5305	56	False
EKN05_004285	EKN05_004285	1	CP037923	849660	850736	+		glycerophosphodiester phosphodiesterase	0.455	63	False
EKN05_004290	EKN05_004290	7	CP037923	850778	851008	-		LysR family transcriptional regulator	0.4156	12	False
EKN05_004295	EKN05_004295	1	CP037923	851199	851849	+		lipopolysaccharide kinase InaA	0.4977	32	False
EKN05_004300	EKN05_004300	1	CP037923	851903	852157	-		ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE	0.5765	6	False
EKN05_004305	EKN05_004305	1	CP037923	852157	853287	-		ribonucleotide-diphosphate reductase subunit beta	0.5075	45	False
EKN05_004310	EKN05_004310	1	CP037923	853521	855806	-		ribonucleoside-diphosphate reductase subunit alpha	0.5372	100	False
EKN05_004315	EKN05_004315	7	CP037923	856502	856681	+		hypothetical protein	0.4833	11	False
EKN05_004320	EKN05_004320	7	CP037923	856693	857966	-		IS3-like element IS2 family transposase	0.5353	53	False
EKN05_004325	EKN05_004325	1	CP037923	857985	859646	+		AidA family protein	0.4838	108	False
EKN05_004330	EKN05_004330	1	CP037923	859656	861590	+		AIDA-I family autotransporter YfaL	0.5504	91	False
EKN05_004335	EKN05_004335	1	CP037923	861718	862440	-		bifunctional 3-demethylubiquinone 3-O-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase	0.5422	28	False
EKN05_004340	EKN05_004340	1	CP037923	862587	865214	+		DNA gyrase subunit A	0.5381	96	False
EKN05_004345	EKN05_004345	7	CP037923	865363	867051	+		DUF2138 domain-containing protein	0.5104	69	False
EKN05_004350	EKN05_004350	1	CP037923	867048	867671	+		DUF1175 domain-containing protein	0.5112	24	False
EKN05_004355	EKN05_004355	7	CP037923	867815	869944	+		alpha-2-macroglobulin family protein	0.5329	104	False
EKN05_004360	EKN05_004360	7	CP037923	870020	871188	+		IS3 family transposase	0.5201	47	False
EKN05_004365	EKN05_004365	1	CP037923	871185	872525	+		hypothetical protein	0.5503	50	False
EKN05_004370	EKN05_004370	1	CP037923	872561	872743	+		hypothetical protein	0.5246	7	False
EKN05_004375	EKN05_004375	7	CP037923	872902	873461	+		alpha-2-macroglobulin	0.5393	17	False
EKN05_004380	EKN05_004380	1	CP037923	873462	875111	+		DUF2300 domain-containing protein	0.5442	78	False
EKN05_004385	EKN05_004385	1	CP037923	875116	875892	+		DUF2135 domain-containing protein	0.5238	27	False
EKN05_004390	EKN05_004390	1	CP037923	876167	879016	+		two-component system sensor histidine kinase RcsC	0.5091	125	False
EKN05_004395	EKN05_004395	1	CP037923	879216	879866	-		transcriptional regulator RcsB	0.4777	28	False
EKN05_004400	EKN05_004400	1	CP037923	879883	882555	-		phosphotransferase RcsD	0.492	120	False
EKN05_004405	EKN05_004405	1	CP037923	883293	884414	+		porin OmpC	0.5036	60	False
EKN05_004410	EKN05_004410	1	CP037923	884526	885581	+		FAD:protein FMN transferase ApbE	0.5331	38	False
EKN05_004415	EKN05_004415	1	CP037923	885655	886719	+		bifunctional DNA-binding transcriptional regulator/O6-methylguanine-DNA methyltransferase Ada	0.57	33	False
EKN05_004420	EKN05_004420	1	CP037923	886719	887369	+		DNA oxidative demethylase AlkB	0.5238	25	False
EKN05_004425	EKN05_004425	1	CP037923	887445	889088	+		microcin J25 efflux ABC transporter YojI	0.5341	64	False
EKN05_004430	EKN05_004430	7	CP037923	889306	889665	+		malate:quinone oxidoreductase	0.5583	8	False
EKN05_004435	EKN05_004435	1	CP037923	889899	890930	+		malate:quinone oxidoreductase	0.53	37	False
EKN05_004440	EKN05_004440	1	CP037923	891080	891568	-		ecotin	0.4969	20	False
EKN05_004445	EKN05_004445	1	CP037923	891976	892470	+		ferredoxin-type protein NapF	0.5475	20	False
EKN05_004450	EKN05_004450	1	CP037923	892460	892723	+		chaperone NapD	0.5492	4	False
EKN05_004455	EKN05_004455	1	CP037923	892720	895206	+		periplasmic nitrate reductase subunit alpha	0.5605	85	False
EKN05_004460	EKN05_004460	1	CP037923	895213	895908	+		ferredoxin-type protein NapG	0.5891	17	False
EKN05_004465	EKN05_004465	1	CP037923	895895	896758	+		quinol dehydrogenase ferredoxin subunit NapH	0.559	28	False
EKN05_004470	EKN05_004470	1	CP037923	896755	897204	+		nitrate reductase cytochrome c-type subunit	0.5578	20	False
EKN05_004475	EKN05_004475	1	CP037923	897214	897816	+		cytochrome c-type protein NapC	0.5174	24	False
EKN05_004480	EKN05_004480	1	CP037923	897835	898452	+		cytochrome c biogenesis heme-transporting ATPase CcmA	0.555	22	False
EKN05_004485	EKN05_004485	1	CP037923	898449	899111	+		heme exporter protein CcmB	0.5566	26	False
EKN05_004490	EKN05_004490	1	CP037923	899153	899890	+		heme exporter protein CcmC	0.5556	23	False
EKN05_004495	EKN05_004495	1	CP037923	899887	900096	+		heme exporter protein CcmD	0.5667	3	False
EKN05_004500	EKN05_004500	1	CP037923	900093	900572	+		cytochrome c maturation protein CcmE	0.5437	18	False
EKN05_004505	EKN05_004505	1	CP037923	900569	902512	+		heme lyase CcmF/NrfE family subunit	0.5705	62	False
EKN05_004510	EKN05_004510	1	CP037923	902509	903066	+		thiol:disulfide interchange protein DsbE	0.543	19	False
EKN05_004515	EKN05_004515	1	CP037923	903063	904115	+		cytochrome c-type biogenesis protein CcmH	0.5451	45	False
EKN05_004520	EKN05_004520	1	CP037923	904326	904973	-		nitrate/nitrite response regulator protein NarP	0.5231	25	False
EKN05_004525	EKN05_004525	1	CP037923	905293	907884	+		autotransporter outer membrane beta-barrel domain-containing protein	0.4842	151	False
EKN05_004530	EKN05_004530	5	CP037923	907987	908063	-		tRNA-Pro	0.6623	2	False
EKN05_004535	EKN05_004535	1	CP037923	908138	909898	-		cardiolipin transport protein PbgA	0.5207	80	False
EKN05_004540	EKN05_004540	1	CP037923	909918	910145	-		DUF1414 domain-containing protein	0.4956	10	False
EKN05_004545	EKN05_004545	1	CP037923	910327	911334	+		nucleoid-associated protein YejK	0.5218	39	False
EKN05_004550	EKN05_004550	1	CP037923	911473	911757	-		50S ribosomal protein L25	0.4982	16	False
EKN05_004555	EKN05_004555	7	CP037923	911882	913641	-		DEAD/DEAH box helicase	0.5318	69	False
EKN05_004560	EKN05_004560	1	CP037923	913791	914486	+		16S rRNA pseudouridine(516) synthase RsuA	0.533	30	False
EKN05_004565	EKN05_004565	1	CP037923	914514	915704	+		multidrug efflux MFS transporter Bcr	0.5298	44	False
EKN05_004570	EKN05_004570	1	CP037923	916037	916381	+		hypothetical protein	0.487	12	False
EKN05_004575	EKN05_004575	1	CP037923	916385	917974	-		microcin C ABC transporter ATP-binding protein YejF	0.5176	63	False
EKN05_004580	EKN05_004580	1	CP037923	917976	919001	-		ABC transporter permease	0.5273	49	False
EKN05_004585	EKN05_004585	1	CP037923	919001	920095	-		microcin C ABC transporter permease YejB	0.5087	52	False
EKN05_004590	EKN05_004590	1	CP037923	920096	921910	-		ABC transporter substrate-binding protein	0.5063	99	False
EKN05_004595	EKN05_004595	1	CP037923	921992	923548	-		cyclic di-GMP phosphodiesterase	0.5016	80	False
EKN05_004600	EKN05_004600	1	CP037923	923729	924295	-		bifunctional murein DD-endopeptidase/murein LD-carboxypeptidase	0.4674	31	False
EKN05_004605	EKN05_004605	1	CP037923	924707	925420	-		Kdo(2)-lipid A phosphotransferase	0.4398	37	False
EKN05_004610	EKN05_004610	1	CP037923	925459	926445	-		GTP-binding protein	0.5451	30	False
EKN05_004615	EKN05_004615	1	CP037923	926563	928029	-		mannitol dehydrogenase family protein	0.5133	58	False
EKN05_004620	EKN05_004620	1	CP037923	928252	928824	-		elongation factor P-like protein YeiP	0.5009	31	False
EKN05_004625	EKN05_004625	1	CP037923	928979	929233	+		YkgJ family cysteine cluster protein	0.5569	8	False
EKN05_004630	EKN05_004630	7	CP037923	929318	930015	+		IS1 family transposase	0.5287	27	False
EKN05_004635	EKN05_004635	1	CP037923	930009	931187	-		sugar efflux transporter SetB	0.5318	45	False
EKN05_004640	EKN05_004640	1	CP037923	931555	932685	+		fused PTS fructose transporter subunit IIA/HPr protein	0.5553	36	False
EKN05_004645	EKN05_004645	1	CP037923	932685	933623	+		1-phosphofructokinase	0.5325	33	False
EKN05_004650	EKN05_004650	1	CP037923	933640	935331	+		PTS fructose transporter subunit IIBC	0.5597	59	False
EKN05_004655	EKN05_004655	1	CP037923	935755	936696	+		pseudouridine kinase	0.4682	56	False
EKN05_004660	EKN05_004660	1	CP037923	936684	937622	+		pseudouridine-5'-phosphate glycosidase	0.4931	41	False
EKN05_004665	EKN05_004665	1	CP037923	937716	938966	+		NupC/NupG family nucleoside CNT transporter	0.5108	51	False
